Gene symbol,G0,G1,G2,G3a,G4,G5a,G5b,G5c,G3b,,Top2a,Gene symbol,Mono,DC,B,T
Tceb1,1.351348095,1.638609907,1.269075746,0.918455157,0.882129764,1.076229211,1.437332231,1.375156562,1.083460708,,Tpd52l1,Tceb1,1.449324397,1.213885511,1.188687018,1.106754893
D030040B21Rik,0.001421684,0,0,0,0,0,0,0.00575468,0,,Endog,D030040B21Rik,0.000501603,0,0,0
Tmem70,0.339841915,0.340259178,0.10840675,0.078068572,0.064448873,0.113698316,0.17485627,0.106121082,0.09001159,,Bcl2l14,Tmem70,0.250660254,0.469136161,0.231173262,0.273702029
Ly96,0.050673139,0.032577084,0.025529143,0.235014371,0.517381174,0.786667761,0.823873054,0.773209479,0.300159775,,Casp8,Ly96,0.664309748,0.184108911,0.223861661,0.069564545
Gm28376,0,0,0,0,0,0,0,0,0,,Mfn2,Gm28376,0,0,0,0
Jph1,0.009316499,0.001644604,0,0,0.00027476,0,0,0,0,,Gpld1,Jph1,0,0,0,0
Gm28783,0,0,0,0,0,0,0,0,0,,Smpd2,Gm28783,0,0,0,0
Gdap1,0,0,0,0.001007239,0,0.002460437,0,0,0,,Ace,Gdap1,0,0,0,0
Gm28784,0,0,0,0,0,0,0,0,0,,Abl1,Gm28784,0,0,0,0
Pi15,0,0,0,0,0,0,0,0,0,,Card9,Pi15,0.000634111,0,0,0
Gm28154,0,0,0,0,0,0,0,0,0,,Ing3,Gm28154,0,0,0,0
Gm16070,0.002660157,0,0,0,0,0,0,0,0,,Usp7,Gm16070,0,0,0,0
Crispld1,0.107686043,0.001745538,0,0,0,0,0,0,0,,Sod1,Crispld1,0,0,0,0
Gm28153,0,0,0,0,0,0,0,0,0,,Mtch2,Gm28153,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0,0,,Lrp6,Crisp4,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,,Zfp13,Defb18,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,,Pdcd1,Defb41,0,0,0,0
Gm29006,0,0,0,0,0,0,0,0,0,,S100a9,Gm29006,0,0,0,0
Gm15825,0,0,0,0,0,0,0,0,0,,Ncoa1,Gm15825,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0,,Rnps1,Tfap2d,0,0,0,0
Tfap2b,0,0,0,0,0,0,0,0,0,,Pidd1,Tfap2b,0,0,0,0
Gm28340,0,0,0,0,0,0,0,0,0,,Ptprc,Gm28340,0,0,0,0
Pkhd1,0,0,0,0,0,0,0,0,0,,Stk4,Pkhd1,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0,,Akap12,4930486I03Rik,0,0,0,0
Gm28653,0,0,0,0,0,0,0,0,0,,Vdr,Gm28653,0,0,0,0
Il17a,0,0,0,0,0,0,0,0,0,,Ptgs2,Il17a,0,0,0,0
Il17f,0,0,0,0.00030698,0,0,0,0,0,,Bclaf1,Il17f,0,0,0,0
Mcm3,1.481509394,1.505384271,0.46558607,0.035584417,0.035870791,0.012461675,0.028853549,0.019096259,0.146946648,,Prnp,Mcm3,0.328191752,0.245408285,0.386555005,0.234010925
Gm28065,0,0,0,0,0,0,0,0,0,,Nck2,Gm28065,0,0,0,0
6720483E21Rik,0,0.001154504,0,0,0,0,0,0,0,,Muc2,6720483E21Rik,0,0,0,0
Paqr8,0.063565408,0.014710455,0.000868355,0.000525723,0.002896918,0.002215963,0.002749002,0,0.007192227,,Siva1,Paqr8,0.003893,0,0.001621431,0.018159552
Efhc1,0,0.001195331,0,0.001027822,0,0,0,0,0,,Cxcr2,Efhc1,0.000560024,0,0.001321968,0
Tram2,0.04510523,0.04599993,0.057720154,0.03729542,0.033569805,0.033319343,0.043908335,0.032228572,0.016133495,,Ano6,Tram2,0.094928205,0.067778567,0.146222043,0.038587592
Gm28287,0,0,0.00089999,0,0,0,0,0,0,,Senp1,Gm28287,0,0,0,0
Tmem14a,0.051748377,0.01580153,0.001704805,0,0.002544755,0,0,0,0.012789179,,Ppif,Tmem14a,0.008792428,0.021980471,0.014495256,0.017700413
Gsta3,0.002302325,0.00049891,0,0.000757283,0.002432223,0,0,0,0,,Nell1,Gsta3,0,0,0,0.000984369
